Date,00_CRAWLSPACE_20FEADE3_SPACE RV2024_RESILIENCE_PEOPLE,01_NORTH_71689518_SPACE RV2024_RESILIENCE_PEOPLE,01_SOUTH_13832DED_SPACE RV2024_RESILIENCE_PEOPLE,02_NORTH_8AE4EB8E_SPACE RV2024_RESILIENCE_PEOPLE,02_SOUTH_A8B4FB79_SPACE RV2024_RESILIENCE_PEOPLE,03_NORTH_E5704112_SPACE RV2024_RESILIENCE_PEOPLE
2016-01-26 00:00:00+00:00,22.956823184142618,22.77516498815577,22.727211601824422,22.67939839343968,22.790067839512176,22.733176028454082
2016-01-26 01:00:00+00:00,22.92268913386749,22.734561490036715,22.671792596732754,22.64385867095466,22.769524217904145,22.716549258098084
2016-01-26 02:00:00+00:00,22.89471848159833,22.700858245546357,22.625615144864895,22.615880636592255,22.754405387275366,22.705281194096624
2016-01-26 03:00:00+00:00,22.874359624387708,22.67500330703547,22.58884577578954,22.595319987860535,22.744589249976173,22.699216506892423
2016-01-26 04:00:00+00:00,22.855485995151124,22.652013312205,22.557193385128386,22.577032211419763,22.734239635974415,22.692497176875197
2016-01-26 05:00:00+00:00,22.834729447967252,22.627273237234917,22.52465430837728,22.556410836742923,22.720299567914395,22.682040677956376
2016-01-26 06:00:00+00:00,22.817544674310756,22.606257318416183,22.49657735810405,22.53893716201755,22.70849490700907,22.673541280932085
2016-01-26 07:00:00+00:00,22.802681552459138,22.632240294100587,22.50528867546114,22.543535814351895,22.697724092648244,22.66586136316681
2016-01-26 08:00:00+00:00,22.792345610141908,22.781336131733834,22.770202991970866,22.632127675386982,22.689306971248623,22.6602338688607
2016-01-26 09:00:00+00:00,22.79545701492287,22.806363676329138,23.11308597716416,22.690706255132895,22.684209941079047,22.656330427312
2016-01-26 10:00:00+00:00,22.820540221312342,22.847896978512964,23.422410174666194,22.69236159387891,22.690601202343455,22.66067763511973
2016-01-26 11:00:00+00:00,22.85727899676172,23.161867852145292,23.629442985552814,22.7967152116328,22.700540719298758,22.664666323580935
2016-01-26 12:00:00+00:00,22.90829491029665,23.330292457881225,23.813000722133165,23.088661534501313,22.713876479581042,22.66893034224239
2016-01-26 13:00:00+00:00,22.966840173133903,23.400702127177222,23.911159647244357,23.25656074525455,22.729699550573272,22.674403860328397
2016-01-26 14:00:00+00:00,23.022284360610836,23.319603835604653,23.692307990361773,23.317371937129238,22.74823602605933,22.682921119165794
2016-01-26 15:00:00+00:00,23.056219420549567,23.20457678265474,23.494622574021836,23.22097536051599,22.763746471415473,22.691069449252414
2016-01-26 16:00:00+00:00,23.06116263540667,23.10772290146132,23.30056658327652,23.047883079003412,22.76815574840276,22.691743770007893
2016-01-26 17:00:00+00:00,23.05831271043368,23.033148755146907,23.138179364580637,22.94171999966828,22.77554879187768,22.69790656981318
2016-01-26 18:00:00+00:00,23.047419505403976,22.977838305012153,23.039100669888608,22.864033749982084,22.780392113227972,22.703463428158667
2016-01-26 19:00:00+00:00,23.03368348677419,22.931486149579072,22.965030783004703,22.808013002269472,22.78421788930642,22.709280777773188
2016-01-26 20:00:00+00:00,23.020615906796976,22.89132985243687,22.90136883869518,22.768384514070934,22.789056835832223,22.71689762779963
2016-01-26 21:00:00+00:00,23.002660350385877,22.852408417350677,22.843667674534654,22.7350707409318,22.78764600843977,22.718808481800796
2016-01-26 22:00:00+00:00,22.98155929304163,22.81744373563491,22.794639468352344,22.7069377106346,22.781713959673322,22.716554683117412
2016-01-26 23:00:00+00:00,22.96919073123315,22.796522446443685,22.761647477793048,22.692555407447106,22.784201231495146,22.722883933181077
2016-01-27 00:00:00+00:00,22.201493322042936,22.100558644417063,22.05169884893522,22.000372149774808,22.11863654004435,22.063305507294526
2016-01-27 01:00:00+00:00,21.806248037567382,21.753471533752528,21.707607622038708,21.67452450653497,21.812493180886225,21.760408250969064
2016-01-27 02:00:00+00:00,21.506826389847117,21.464304870142303,21.424049063041352,21.40419862060668,21.556319470403675,21.506147320867928
2016-01-27 03:00:00+00:00,21.20963178270787,21.166478558954186,21.12803519141882,21.121934388402064,21.290697588569653,21.24228615670881
2016-01-27 04:00:00+00:00,20.928679316971387,20.88061996515535,20.843800024395687,20.850172607054173,21.032957101886396,20.986222231844554
2016-01-27 05:00:00+00:00,20.680216479110168,20.622629742179367,20.588884491604983,20.604816832710252,20.797205793275776,20.75202224208213
2016-01-27 06:00:00+00:00,20.466280124585854,20.398501563816826,20.368779414508097,20.391225310280316,20.589201209109252,20.54554408347953
2016-01-27 07:00:00+00:00,20.410398759713004,20.3703517721347,20.338858142098406,20.348135062554903,20.520927817633467,20.478387227641722
2016-01-27 08:00:00+00:00,20.500158336609587,20.581541321581323,20.677703588148994,20.503814472545674,20.57239784204533,20.530609946964844
2016-01-27 09:00:00+00:00,20.547212697416285,20.60387295678538,21.02117738696639,20.56773913242833,20.57835678156309,20.536761846099854
2016-01-27 10:00:00+00:00,20.67086264260893,20.70038154416304,21.378933431149466,20.62879476337863,20.644713160853893,20.600216593184008
2016-01-27 11:00:00+00:00,20.881609498557957,21.137214272735033,21.692936173014136,20.858435239937446,20.78411662754934,20.732613702082734
2016-01-27 12:00:00+00:00,21.126334886925903,21.44249336749819,21.99440983936373,21.264854051223328,20.946091223826873,20.886390759899964
2016-01-27 13:00:00+00:00,21.315926216593574,21.607462135122322,22.156018836831752,21.50395476732501,21.063055046118603,20.996534334376964
2016-01-27 14:00:00+00:00,21.419208514357504,21.594024417848132,22.01634539858965,21.617455318442627,21.116961515552507,21.044392986111514
2016-01-27 15:00:00+00:00,21.43056078426991,21.479815464883227,21.816192318686067,21.514720378849002,21.109154083389097,21.03132668951534
2016-01-27 16:00:00+00:00,21.344765735557672,21.318669972298284,21.579944642705815,21.286022127106065,21.040231753774833,20.957588085349347
2016-01-27 17:00:00+00:00,21.21429752024623,21.136703838873988,21.29485010941949,21.07943326142872,20.945672306791266,20.8608378858996
2016-01-27 18:00:00+00:00,21.074863853780087,20.971516039653746,21.077731060812837,20.906384067819364,20.849014114864822,20.76518820544811
2016-01-27 19:00:00+00:00,20.943149389138735,20.825118161335364,20.901869270996734,20.76017776510909,20.754310213085372,20.67374786211335
2016-01-27 20:00:00+00:00,20.820655401632425,20.69385793678236,20.752713476711772,20.63281885705268,20.661695031489593,20.58510352248549
2016-01-27 21:00:00+00:00,20.688181569677102,20.553978840120298,20.59904933153276,20.498081033979744,20.553128862610876,20.480745994155516
2016-01-27 22:00:00+00:00,20.52896944756701,20.39168618044704,20.424429684272372,20.342010973368456,20.418985910991807,20.35123691363095
2016-01-27 23:00:00+00:00,20.38062069298738,20.240556274797736,20.265217350967706,20.19802050599016,20.29060818449897,20.22718937011133
2016-01-28 00:00:00+00:00,20.231025449496524,20.08645632686442,20.104362895397912,20.05104305260112,20.15614055272506,20.09668065545725
2016-01-28 01:00:00+00:00,20.056361537759866,19.907635316546248,19.917935155378903,19.878970060784827,19.99655041949925,19.940900649938346
2016-01-28 02:00:00+00:00,19.869670286188345,19.717475709039054,19.720498199164236,19.695563382224126,19.825285957385887,19.773221763811446
2016-01-28 03:00:00+00:00,19.683749476203406,19.527218142730344,19.52326435954835,19.51206208490585,19.65371929221856,19.60491940578743
2016-01-28 04:00:00+00:00,19.469473410158322,19.310004164138387,19.300261390385124,19.301602865234567,19.454750361449772,19.408959655789875
2016-01-28 05:00:00+00:00,19.245817094521144,19.083114179881264,19.069008789971612,19.081511068967796,19.24521676653411,19.202091000920074
2016-01-28 06:00:00+00:00,19.022010218987067,18.85450586510645,18.835977677213904,18.85951525219392,19.03386609361137,18.99307345568958
2016-01-28 07:00:00+00:00,18.810027536563393,18.668635182324767,18.63769341161552,18.6619308878912,18.831795234356232,18.79302757724874
2016-01-28 08:00:00+00:00,18.69666616227639,18.66410344274379,18.732514051483907,18.616255340844692,18.712651863761966,18.67528919320698
2016-01-28 09:00:00+00:00,18.67715695695922,18.63159429602378,18.98893213931476,18.62357223329875,18.66542936520136,18.628277836303386
2016-01-28 10:00:00+00:00,18.70023122470875,18.63881808041878,19.229205705105674,18.60188069959378,18.649181059818133,18.610223660976384
2016-01-28 11:00:00+00:00,18.805402553123187,18.969113397651746,19.4634348174629,18.743404491725972,18.70322603350424,18.65969477155992
2016-01-28 12:00:00+00:00,19.027854790771915,19.278715365229065,19.81273940171803,19.159086989598563,18.850733242923923,18.799206219916172
2016-01-28 13:00:00+00:00,19.24972805872479,19.495164379619712,20.073348158518485,19.46035027179258,18.987335705094594,18.926131841122835
2016-01-28 14:00:00+00:00,19.29103496516909,19.393031395108952,19.811872026478543,19.477960675412188,18.979948171930754,18.90979651140015
2016-01-28 15:00:00+00:00,19.210000637433094,19.180770406320356,19.496699377425283,19.262966763216095,18.90256742494304,18.82769763473455
2016-01-28 16:00:00+00:00,19.07254667852078,18.96753318375536,19.20639525793235,18.97819625603527,18.795639399509582,18.721409998836098
2016-01-28 17:00:00+00:00,18.888293360452966,18.73278043200433,18.8703875330381,18.718425188020845,18.653393901701723,18.58201005905826
2016-01-28 18:00:00+00:00,18.684176266911564,18.504227501712577,18.592073635244308,18.482483778080756,18.494306310999814,18.426750812180547
2016-01-28 19:00:00+00:00,18.481546857903002,18.28695938374997,18.345811681749016,18.266280325526854,18.33014878052165,18.266610257247127
2016-01-28 20:00:00+00:00,18.275446735190524,18.07121913898397,18.110796643125198,18.055466862384222,18.156525004149383,18.096926301134165
2016-01-28 21:00:00+00:00,18.06534661884324,17.853368756355568,17.878462426421244,17.844205175894327,17.973684766914825,17.91784378883656
2016-01-28 22:00:00+00:00,17.869492655552662,17.651772107809503,17.666946995364693,17.65012551682189,17.800541787005088,17.748171013296904
2016-01-28 23:00:00+00:00,17.688845451527964,17.462648810561436,17.471002710651877,17.46857507327551,17.633880142684458,17.584633699275432
2016-01-29 00:00:00+00:00,17.513482295685314,17.27988435402244,17.28344752178115,17.292708601755788,17.46896829070162,17.422668378269815
2016-01-29 01:00:00+00:00,17.368431745003523,17.126167202936234,17.12779484917259,17.14552878231318,17.32831142397885,17.284670083078783
2016-01-29 02:00:00+00:00,17.21656329343062,16.96711735486062,16.96774131238651,16.992105712279102,17.179115377500207,17.13802382735311
2016-01-29 03:00:00+00:00,17.046177289339777,16.789622792060396,16.78680626629423,16.819108881966628,17.01194551287553,16.973280925157173
2016-01-29 04:00:00+00:00,16.861668706849382,16.600157706642992,16.59299117808497,16.633696662035803,16.83341742658968,16.79698361890556
2016-01-29 05:00:00+00:00,16.679472359662654,16.412354359539986,16.40239105143384,16.45005693352857,16.655361882462444,16.620855732993732
2016-01-29 06:00:00+00:00,16.503623202685016,16.230705133179196,16.219523068362538,16.272470108885585,16.48191994108633,16.449093795420378
2016-01-29 07:00:00+00:00,16.369082209156826,16.09235080185171,16.08422869113655,16.137115053416313,16.343732552713174,16.31231277665226
2016-01-29 08:00:00+00:00,16.312696806565736,16.043809055263306,16.06191441800323,16.08973508727207,16.271434498483824,16.241203755674974
2016-01-29 09:00:00+00:00,16.31191919595122,16.043092730671063,16.117183338650495,16.0987176007181,16.245458395189136,16.216291830048224
2016-01-29 10:00:00+00:00,16.326024973603907,16.068033242860626,16.22778227745533,16.11936959767666,16.232344714404203,16.204012398856705
2016-01-29 11:00:00+00:00,16.343663885170056,16.15569196504376,16.328585463458094,16.156809414866206,16.22430384931774,16.196119220845365
2016-01-29 12:00:00+00:00,16.38548806998872,16.218055129210082,16.407525921327732,16.239111277266737,16.236005256461112,16.2069793283703
2016-01-29 13:00:00+00:00,16.401646127329418,16.211216170164523,16.38806024663054,16.241764407793557,16.226438813501318,16.19618620226476
2016-01-29 14:00:00+00:00,16.37896184968197,16.14788824945447,16.28625815716018,16.18671465290432,16.188618215502917,16.157307175577714
2016-01-29 15:00:00+00:00,16.337003628904633,16.0698686208951,16.178183227791806,16.10874900698101,16.140197952155003,16.108302753241905
2016-01-29 16:00:00+00:00,16.28330087102705,15.98345811401145,16.072564541980714,16.014554976803613,16.08436135434252,16.05238775711707
2016-01-29 17:00:00+00:00,16.220791045908758,15.891580165153636,15.942963646989439,15.917091157615497,16.022325509978415,15.990638619406717
2016-01-29 18:00:00+00:00,16.16265350842679,15.814146210882583,15.846951456655434,15.838876503475293,15.964093069638736,15.933006406928131
2016-01-29 19:00:00+00:00,16.10489422275812,15.743492697984827,15.765960657599601,15.768384055724738,15.905940003017392,15.875756961499297
2016-01-29 20:00:00+00:00,16.06776520826834,15.697606771042752,15.716214684932813,15.723283557175256,15.865617965829573,15.836438457059602
2016-01-29 21:00:00+00:00,16.061250498123268,15.679937862635219,15.697409239913318,15.70642563200741,15.849509745650389,15.821317622977455
2016-01-29 22:00:00+00:00,16.046402510879286,15.656066908788508,15.671093235667557,15.682534370530389,15.826884737104587,15.799814381870922
2016-01-29 23:00:00+00:00,16.00976243056513,15.613328594315135,15.624332140173218,15.639381291372318,15.78613833117186,15.760252436060382
2016-01-30 00:00:00+00:00,15.949434274103632,15.545503731943542,15.547003609773883,15.571491070915828,15.72515458529881,15.700426308780267
2016-01-30 01:00:00+00:00,15.852896842011754,15.443360364234685,15.433842558627113,15.469709674268982,15.6326379272176,15.609054354068421
2016-01-30 02:00:00+00:00,15.710987585645915,15.30901721022608,15.297942287187317,15.335454504991793,15.502082763312819,15.479609390426377
2016-01-30 03:00:00+00:00,15.565051850659286,15.17193683669779,15.161735920111196,15.199265845299358,15.367891472562997,15.346260413548144
2016-01-30 04:00:00+00:00,15.442896449312437,15.0525849795452,15.042779904483238,15.081842002242702,15.252216043356809,15.231119547295457
2016-01-30 05:00:00+00:00,15.318634608842535,14.918058340413756,14.896172785348071,14.949194331213748,15.131782504649879,15.111128595641945
2016-01-30 06:00:00+00:00,15.198016576601708,14.791578608879632,14.763933202916347,14.82539632765784,15.015922956881772,14.995701484922336
2016-01-30 07:00:00+00:00,15.097984717346813,14.713635684833491,14.674767418441073,14.733340781883937,14.91514526566239,14.895359760534776
2016-01-30 08:00:00+00:00,15.040204912140952,14.762853204916865,14.811646115991982,14.738801368082042,14.84817181068855,14.82871815341539
2016-01-30 09:00:00+00:00,15.054697918467086,14.767981672631437,15.070290951511913,14.776112290704061,14.8355399114756,14.815492927689048
2016-01-30 10:00:00+00:00,15.120694444076783,14.82075328737438,15.367173255504134,14.796857908168663,14.859639630843978,14.837131585129832
2016-01-30 11:00:00+00:00,15.257158566651555,15.194156183878812,15.662598083163784,14.968061730010588,14.943559064645969,14.91600696316766
2016-01-30 12:00:00+00:00,15.536135104178284,15.560372348524544,16.075147820560826,15.445081913559392,15.134319107209203,15.098160702907839
2016-01-30 13:00:00+00:00,15.820332270679598,15.836851942856931,16.408971109764433,15.813884168875061,15.314647042927383,15.270922697306554
2016-01-30 14:00:00+00:00,15.931350705526294,15.805076794587592,16.22761735839052,15.933392833884684,15.362417052419913,15.311583233887246
2016-01-30 15:00:00+00:00,15.904146092577358,15.640180119107528,15.967979189096171,15.769970608450576,15.329037685379625,15.270434126961177
2016-01-30 16:00:00+00:00,15.786792697567256,15.456709083554466,15.677057492187538,15.48696059863443,15.252283547083229,15.188869476504381
2016-01-30 17:00:00+00:00,15.667651495053251,15.301677455346693,15.4327796827528,15.297933557625557,15.182719333517879,15.119552107522042
2016-01-30 18:00:00+00:00,15.528632385932275,15.1487401516874,15.238438174585061,15.128667607767616,15.092612366789146,15.03183496149773
2016-01-30 19:00:00+00:00,15.30291855204103,14.917901906052904,14.972688340303273,14.892303071033838,14.922947261022296,14.865927217296187
2016-01-30 20:00:00+00:00,14.988662215279248,14.610082915474342,14.63531594596965,14.58603030955849,14.674903489756531,14.622137226375694
2016-01-30 21:00:00+00:00,14.664189336063089,14.289899610672345,14.293706554592248,14.272853631107465,14.408442455656742,14.35931854544158
2016-01-30 22:00:00+00:00,14.345143035434624,13.97385394030139,13.964483362417814,13.966622376402585,14.138158891144117,14.092018549663187
